,Title,Location,Security,Garage,Concierge,Price,City,Currency,Nmbr_rooms,Nmbr_pieces,Nmbr_bathrooms,Type,Surface
193,Bel appartement sur Av Hassan 2 Res oum kelthom,Agdal ,0,0,0,1850000.0,Rabat,DH,3,6,2,Bon état,170
194,Appartement bien situé à vendre avec terrasse,Rabat,0,0,0,3500000.0,Rabat,DH,3,4,2,Bon état,207
195,Appartement à vendre sur Prestigia Hay riad residence sécurisé avec piscine,Riyad ,0,0,0,1950000.0,Rabat,DH,2,3,2,À rénover,100
196,Somptueuse maison à vendre à Riyad,Riyad ,0,0,0,,Rabat,,5,7,3,Nouveau,470
197,Avendre appartement à mahjriad,Riyad ,1,0,0,1900000.0,Rabat,DH,2,3,2,Bon état,100
198,Appart Affaire à ne pas rater derriere la douane,Riyad ,0,0,0,2100000.0,Rabat,DH,3,6,3,À rénover,135
199,Appartement à l'achat à Riyad. 5 pièces,Riyad ,1,0,0,,Rabat,,3,5,3,Nouveau,176
204,Appartement à l'achat à Riyad. 5 pièces,Riyad ,0,0,0,,Rabat,,3,5,2,Bon état,150
205,Appartement en vente,Souissi ,0,0,0,5400000.0,Rabat,DH,3,4,2,Bon état,230
206,Appartement en vente,Rabat,0,0,0,2350000.0,Rabat,DH,2,3,1,Bon état,90
207,Charmant appartement à vendre,Kébibat ,0,0,0,980000.0,Rabat,DH,2,3,2,Bon état,85
208,Appartement de 97 m² à Rabat Square,Souissi ,0,0,0,2439000.0,Rabat,DH,1,1,2,Nouveau,97
209,Appartement en vente sur Prestigia Hay Riad,Riyad ,0,0,0,3000000.0,Rabat,DH,3,4,3,Bon état,166
210,Appartement en vente sur Hay RIad,Riyad ,0,0,0,4000000.0,Rabat,DH,3,6,3,Nouveau,216
213,Vente Appartement Rabat Souissi,Souissi ,0,0,0,5600000.0,Rabat,DH,3,6,2,Bon état,230
215,Vente Riad Rabat Médina Centre Ville,Hassan - Centre Ville ,0,0,0,6700000.0,Rabat,DH,9,7,7,Bon état,244
